2026-06-03 12:50:59,REGISTER,User,"mateipiratul"
2026-06-03 13:21:12,REGISTER,User,"mateipiratul"
2026-06-03 13:32:30,LOGIN,User,"mateipiratul"
2026-06-03 14:22:08,LOGIN,User,"mateipiratul"
2026-06-03 14:25:00,LOGIN,User,"mateipiratul"
2026-06-03 14:36:29,LOGIN,User,"mateipiratul"
2026-06-03 19:35:53,LOGIN,User,"mateipiratul"
2026-06-03 21:46:38,LOGIN,User,"mateipiratul"
2026-06-03 21:51:04,LOGIN,User,"mateipiratul"
2026-06-03 23:54:32,LOGIN,User,"matei.piratul@gmail.com"
2026-06-03 23:54:50,FAVORITE,Team,"Natus Vincere"
2026-06-03 23:54:51,UNFAVORITE,Team,"Natus Vincere"
2026-06-03 23:55:20,UPDATE_PROFILE,User,"mateipiratul"
2026-06-03 23:55:44,COMMENT,News,"ID: 4"
2026-06-03 23:57:11,COMMENT,News,"ID: 4"
2026-06-04 00:45:27,LOGIN,User,"mateipiratul"
2026-06-04 01:00:34,LOGIN,User,"admin"
2026-06-04 01:17:42,LOGIN,User,"admin"
2026-06-04 01:31:10,LOGIN,User,"admin"
2026-06-04 01:40:23,LOGIN,User,"admin"
2026-06-04 01:40:51,CREATE,Tournament,"Minitehnicus Cup"
2026-06-04 02:19:00,LOGIN,User,"admin"
2026-06-04 11:39:00,LOGIN,User,"admin"
2026-06-04 11:39:10,COMMENT,News,"ID: 4"
2026-06-04 12:56:18,COMMENT,News,"ID: 4"
2026-06-04 12:58:18,CREATE,Sponsor,"Cocotehnicus"
2026-06-04 13:06:07,CREATE,News,"Hello everybody"
2026-06-04 14:23:59,UPDATE,Member,"ZywOo"
2026-06-04 14:41:48,LOGIN,User,"admin"
2026-06-04 14:42:40,LOGIN,User,"admin"
2026-06-04 14:55:42,LOGIN,User,"admin"
2026-06-04 15:04:12,LOGIN,User,"admin"
2026-06-04 15:05:40,CREATE,Match,"ID: 57"
2026-06-04 15:19:42,LOGIN,User,"admin"
2026-06-04 15:22:51,LOGIN,User,"admin"
2026-06-04 15:23:08,UNLINK_SPONSOR,Team,"Team ID: 100004 - Sponsor: Logitech G"
2026-06-04 15:23:19,LINK_SPONSOR,Team,"Team ID: 100004 - Sponsor: Monster Energy"
2026-06-04 15:54:11,LOGIN,User,"admin"
2026-06-04 16:12:14,LOGIN,User,"admin"
2026-06-04 17:04:58,LOGIN,User,"admin"
